date,region,metric,value
2052-12-27,BW,dosen_kumulativ,2084
2052-12-27,BW,indikation_alter_dosen,624
2052-12-27,BW,indikation_beruf_dosen,964
2052-12-27,BW,indikation_medizinisch_dosen,151
2052-12-27,BW,indikation_pflegeheim_dosen,0
2052-12-27,BW,dosen_differenz_zum_vortag,
2052-12-27,BY,dosen_kumulativ,3389
2052-12-27,BY,indikation_alter_dosen,994
2052-12-27,BY,indikation_beruf_dosen,1051
2052-12-27,BY,indikation_medizinisch_dosen,68
2052-12-27,BY,indikation_pflegeheim_dosen,1620
2052-12-27,BY,dosen_differenz_zum_vortag,
2052-12-27,BE,dosen_kumulativ,1626
2052-12-27,BE,indikation_alter_dosen,1416
2052-12-27,BE,indikation_beruf_dosen,228
2052-12-27,BE,indikation_medizinisch_dosen,105
2052-12-27,BE,indikation_pflegeheim_dosen,1398
2052-12-27,BE,dosen_differenz_zum_vortag,
2052-12-27,BB,dosen_kumulativ,100
2052-12-27,BB,indikation_alter_dosen,80
2052-12-27,BB,indikation_beruf_dosen,20
2052-12-27,BB,indikation_medizinisch_dosen,0
2052-12-27,BB,indikation_pflegeheim_dosen,12
2052-12-27,BB,dosen_differenz_zum_vortag,
2052-12-27,HB,dosen_kumulativ,420
2052-12-27,HB,indikation_alter_dosen,205
2052-12-27,HB,indikation_beruf_dosen,87
2052-12-27,HB,indikation_medizinisch_dosen,0
2052-12-27,HB,indikation_pflegeheim_dosen,0
2052-12-27,HB,dosen_differenz_zum_vortag,
2052-12-27,HH,dosen_kumulativ,445
2052-12-27,HH,indikation_alter_dosen,197
2052-12-27,HH,indikation_beruf_dosen,222
2052-12-27,HH,indikation_medizinisch_dosen,0
2052-12-27,HH,indikation_pflegeheim_dosen,223
2052-12-27,HH,dosen_differenz_zum_vortag,
2052-12-27,HE,dosen_kumulativ,3112
2052-12-27,HE,indikation_alter_dosen,1086
2052-12-27,HE,indikation_beruf_dosen,1694
2052-12-27,HE,indikation_medizinisch_dosen,154
2052-12-27,HE,indikation_pflegeheim_dosen,1347
2052-12-27,HE,dosen_differenz_zum_vortag,
2052-12-27,MV,dosen_kumulativ,590
2052-12-27,MV,indikation_alter_dosen,0
2052-12-27,MV,indikation_beruf_dosen,240
2052-12-27,MV,indikation_medizinisch_dosen,0
2052-12-27,MV,indikation_pflegeheim_dosen,350
2052-12-27,MV,dosen_differenz_zum_vortag,
2052-12-27,NI,dosen_kumulativ,334
2052-12-27,NI,indikation_alter_dosen,42
2052-12-27,NI,indikation_beruf_dosen,116
2052-12-27,NI,indikation_medizinisch_dosen,140
2052-12-27,NI,indikation_pflegeheim_dosen,306
2052-12-27,NI,dosen_differenz_zum_vortag,
2052-12-27,NW,dosen_kumulativ,5405
2052-12-27,NW,indikation_alter_dosen,0
2052-12-27,NW,indikation_beruf_dosen,1370
2052-12-27,NW,indikation_medizinisch_dosen,0
2052-12-27,NW,indikation_pflegeheim_dosen,3985
2052-12-27,NW,dosen_differenz_zum_vortag,
2052-12-27,RP,dosen_kumulativ,1252
2052-12-27,RP,indikation_alter_dosen,0
2052-12-27,RP,indikation_beruf_dosen,620
2052-12-27,RP,indikation_medizinisch_dosen,0
2052-12-27,RP,indikation_pflegeheim_dosen,632
2052-12-27,RP,dosen_differenz_zum_vortag,
2052-12-27,SL,dosen_kumulativ,215
2052-12-27,SL,indikation_alter_dosen,168
2052-12-27,SL,indikation_beruf_dosen,4
2052-12-27,SL,indikation_medizinisch_dosen,0
2052-12-27,SL,indikation_pflegeheim_dosen,211
2052-12-27,SL,dosen_differenz_zum_vortag,
